year,month,type,cast,registered,presidential,gubernatorial,senate
2015,11,general,47,1197,FALSE,FALSE,FALSE
2015,05,primary,23,838,FALSE,FALSE,FALSE
2014,11,general,169,3430,FALSE,TRUE,FALSE
2014,05,primary,76,3440,FALSE,TRUE,FALSE
2013,11,general,75,3473,FALSE,0,FALSE
2013,05,primary,37,2439,FALSE,0,FALSE
2012,11,general,1509,4057,TRUE,FALSE,TRUE
2012,05,primary,50,2135,TRUE,FALSE,TRUE
2011,11,general,87,2944,FALSE,0,FALSE
2011,05,primary,56,2247,FALSE,0,FALSE
2010,11,general,281,3170,FALSE,TRUE,TRUE
2010,05,primary,71,2264,FALSE,TRUE,TRUE
2009,11,general,106,3105,FALSE,0,FALSE
2009,05,primary,56,2595,FALSE,0,FALSE
2008,11,general,2140,3566,TRUE,FALSE,FALSE
2008,05,primary,581,2005,TRUE,FALSE,FALSE
2007,11,general,85,1285,FALSE,0,FALSE
2007,05,primary,86,1562,FALSE,0,FALSE
2006,11,general,223,1682,FALSE,TRUE,TRUE
2006,05,primary,67,1183,FALSE,TRUE,TRUE
2005,11,general,102,1698,FALSE,0,FALSE
2005,05,primary,87,1880,FALSE,0,FALSE
2004,11,general,1158,1857,TRUE,FALSE,TRUE
2004,05,primary,74,987,TRUE,FALSE,TRUE
2003,11,general,110,978,FALSE,0,FALSE
2003,05,primary,74,704,FALSE,0,FALSE
2002,11,general,171,1183,FALSE,TRUE,FALSE
2002,05,primary,62,873,FALSE,TRUE,FALSE
2001,11,general,117,2099,FALSE,0,FALSE
2001,05,primary,66,2085,FALSE,0,FALSE
2000,11,general,431,2074,TRUE,FALSE,TRUE
2000,05,primary,53,1442,TRUE,FALSE,TRUE
1999,11,general,121,1893,FALSE,0,FALSE
1999,05,primary,76,1419,FALSE,0,FALSE
1998,11,general,153,1843,FALSE,TRUE,TRUE
1998,05,primary,47,1392,FALSE,TRUE,TRUE
1997,11,general,108,1813,FALSE,0,FALSE
1997,05,primary,76,1374,FALSE,0,FALSE
1996,11,general,518,1737,TRUE,FALSE,FALSE
1996,05,primary,79,1162,TRUE,FALSE,0
